virus,location,strain,year,accession_number,collection_date,area
hCoV-19,Australia,VIC6137,2020,EPI_ISL_518148,2020-07-23,Oceania
hCoV-19,Wales,PHWC-31E39,2020,EPI_ISL_446574,2020-04-07,Europe
hCoV-19,India,KA-InStem-NCBS-0061,2020,EPI_ISL_477261,2020-05-18,Asia
hCoV-19,England,CAMB-1ACA25,2020,EPI_ISL_489404,2020-04-23,Europe
hCoV-19,Australia,VIC647,2020,EPI_ISL_426943,2020-03-28,Oceania
hCoV-19,Netherlands,Overijssel_4,2020,EPI_ISL_460823,2020-04-15,Europe
hCoV-19,England,20139064704,2020,EPI_ISL_465854,2020-03-28,Europe
hCoV-19,India,GJ-GBRC207b,2020,EPI_ISL_475034,2020-06-11,Asia
hCoV-19,Scotland,CVR1085,2020,EPI_ISL_433508,2020-03-29,Europe
hCoV-19,Netherlands,Overijssel_2-2,2020,EPI_ISL_414550,2020-03-06,Europe
hCoV-19,Spain,AR-IBV-005074,2020,EPI_ISL_510360,2020-04-22,Europe
hCoV-19,USA,MI-MDHHS-SC20223,2020,EPI_ISL_447193,2020-03-22,NorthAmerica
hCoV-19,Scotland,CVR3405,2020,EPI_ISL_456829,2020-05-06,Europe
hCoV-19,USA,MN-MDH-310,2020,EPI_ISL_450771,2020-03-30,NorthAmerica
hCoV-19,Wales,PHWC-3612C,2020,EPI_ISL_474624,2020-04-28,Europe
hCoV-19,USA,CA-CZB0125,2020,EPI_ISL_429046,2020-04-08,NorthAmerica
hCoV-19,USA,NY-NYUMC678,2020,EPI_ISL_450395,2020-03-29,NorthAmerica
hCoV-19,England,EXET-136273,2020,EPI_ISL_457214,2020-04-13,Europe
hCoV-19,India,TG-CCMB-W850,2020,EPI_ISL_528826,2020-07-14,Asia
hCoV-19,Wales,PHWC-3464D,2020,EPI_ISL_446952,2020-04-20,Europe
hCoV-19,England,CAMB-76FEA,2020,EPI_ISL_425448,2020-03-31,Europe
hCoV-19,Wales,PHWC-25005,2020,EPI_ISL_420929,2020-03-20,Europe
hCoV-19,Canada,BC_06074915,2020,EPI_ISL_477058,2020-05-00,NorthAmerica
hCoV-19,Wales,PHWC-162BCE,2020,EPI_ISL_473175,2020-05-31,Europe
hCoV-19,Canada,BC_03469913,2020,EPI_ISL_466744,2020-04-00,NorthAmerica
hCoV-19,Spain,AR-IBV-005077,2020,EPI_ISL_500288,2020-04-22,Europe
hCoV-19,Australia,VIC5114,2020,EPI_ISL_519917,2020-07-18,Oceania
hCoV-19,Russia,SPE-RII-12083V,2020,EPI_ISL_524000,2020-05-08,Europe
hCoV-19,Turkey,GLAB-CoV012,2020,EPI_ISL_428346,2020-04-17,Europe
hCoV-19,Singapore,745,2020,EPI_ISL_500572,2020-07-12,Asia
hCoV-19,Wales,PHWC-2CAC4,2020,EPI_ISL_445946,2020-04-01,Europe
hCoV-19,Denmark,ALAB-HH41,2020,EPI_ISL_429297,2020-03-14,Europe
hCoV-19,England,LIVE-A5F5B,2020,EPI_ISL_499497,2020-03-21,Europe
hCoV-19,Scotland,EDB3375,2020,EPI_ISL_487807,2020-04-08,Europe
hCoV-19,USA,ID-UW-2480,2020,EPI_ISL_485946,2020-03-28,NorthAmerica
hCoV-19,Australia,VIC4774,2020,EPI_ISL_519160,2020-07-18,Oceania
hCoV-19,Peru,LIM-INS-155,2020,EPI_ISL_536548,2020-03-19,SouthAmerica
hCoV-19,Scotland,EDB6157,2020,EPI_ISL_473893,2020-05-14,Europe
hCoV-19,Switzerland,BS-ETHZ-110001,2020,EPI_ISL_486443,2020-04-01,Europe
