virus,location,strain,year,accession_number,collection_date,area
hCoV-19,England,20129015404,2020,EPI_ISL_423998,2020-03-21,Europe
hCoV-19,England,NOTT-10E827,2020,EPI_ISL_425599,2020-03-24,Europe
hCoV-19,England,QEUH-96EE85,2020,EPI_ISL_530501,2020-08-19,Europe
hCoV-19,Australia,VIC2888,2020,EPI_ISL_521719,2020-07-08,Oceania
hCoV-19,Japan,DP0290,2020,EPI_ISL_416591,2020-02-16,Asia
hCoV-19,USA,MI-MDHHS-SC21130,2020,EPI_ISL_507906,2020-03-30,NorthAmerica
hCoV-19,Wales,PHWC-15C6B7,2020,EPI_ISL_472523,2020-05-09,Europe
hCoV-19,USA,CA-CZB-59X002,2020,EPI_ISL_450484,2020-03-24,NorthAmerica
hCoV-19,Australia,VIC6058,2020,EPI_ISL_518096,2020-07-26,Oceania
hCoV-19,Ireland,D-NVRL-71IRL07206,2020,EPI_ISL_500588,2020-07-07,Europe
hCoV-19,England,CAMB-7FC17,2020,EPI_ISL_433492,2020-04-16,Europe
hCoV-19,Australia,VPRL014,2020,EPI_ISL_455603,2020-01-30,Oceania
hCoV-19,England,20140004104,2020,EPI_ISL_465871,2020-03-28,Europe
hCoV-19,Austria,CeMM0250,2020,EPI_ISL_438080,2020-03-21,Europe
hCoV-19,Scotland,CVR3105,2020,EPI_ISL_461678,2020-04-25,Europe
hCoV-19,USA,MI-MDHHS-SC20836,2020,EPI_ISL_471857,2020-04-21,NorthAmerica
hCoV-19,Belgium,ULG-6649,2020,EPI_ISL_418631,2020-04-03,Europe
hCoV-19,Netherlands,ZH-EMC-446,2020,EPI_ISL_523784,2020-08-12,Europe
hCoV-19,Ghana,2828_S6,2020,EPI_ISL_422397,2020-03-29,Africa
hCoV-19,England,CAMB-7C0C3,2020,EPI_ISL_433991,2020-04-14,Europe
hCoV-19,England,LEED-2AA552,2020,EPI_ISL_538826,2020-04-09,Europe
hCoV-19,India,TG-CCMB-AB397,2020,EPI_ISL_539666,2020-08-13,Asia
hCoV-19,Portugal,PT0237,2020,EPI_ISL_453951,2020-03-31,Europe
hCoV-19,Spain,AN-IBV-006104,2020,EPI_ISL_510436,2020-06-29,Europe
hCoV-19,England,BRIS-121F56,2020,EPI_ISL_440027,2020-03-19,Europe
hCoV-19,USA,CA-ALSR-1175,2020,EPI_ISL_494414,2020-04-29,NorthAmerica
hCoV-19,England,20166000104,2020,EPI_ISL_466492,2020-04-15,Europe
hCoV-19,Chile,Punta_Arenas_9,2020,EPI_ISL_445290,2020-03-21,SouthAmerica
hCoV-19,Portugal,PT0105,2020,EPI_ISL_453821,2020-03-20,Europe
hCoV-19,Australia,VIC2225,2020,EPI_ISL_521962,2020-06-14,Oceania
hCoV-19,England,CAMB-1AB200,2020,EPI_ISL_470130,2020-04-19,Europe
hCoV-19,India,TN-CCMB-C10,2020,EPI_ISL_458036,2020-04-29,Asia
hCoV-19,USA,MD-MDH-0040,2020,EPI_ISL_509444,2020-04-02,NorthAmerica
hCoV-19,England,LEED-2A884C,2020,EPI_ISL_539032,2020-03-25,Europe
hCoV-19,USA,VA-DCLS-0076,2020,EPI_ISL_429975,2020-03-27,NorthAmerica
hCoV-19,England,BRIS-122F28,2020,EPI_ISL_440766,2020-04-03,Europe
hCoV-19,USA,NY-NYUMC231,2020,EPI_ISL_427631,2020-04-06,NorthAmerica
hCoV-19,Spain,PV-IBV-2129,2020,EPI_ISL_468940,2020-04-12,Europe
hCoV-19,England,BRIS-128C49,2020,EPI_ISL_458753,2020-04-14,Europe
hCoV-19,USA,CA-CZB-1207,2020,EPI_ISL_450456,2020-03-27,NorthAmerica
hCoV-19,Singapore,724,2020,EPI_ISL_500545,2020-06-24,Asia
hCoV-19,Switzerland,ZH-ETHZ-240063,2020,EPI_ISL_523903,2020-08-13,Europe
hCoV-19,USA,WA-S1754,2020,EPI_ISL_496180,2020-06-01,NorthAmerica
hCoV-19,South Africa,KRISP-K002686,2020,EPI_ISL_535549,2020-08-04,Africa
hCoV-19,Wales,PHWC-24358,2020,EPI_ISL_419400,2020-03-16,Europe
hCoV-19,Switzerland,BS-UHB-42199675,2020,EPI_ISL_528243,2020-03-20,Europe
hCoV-19,England,20164005404,2020,EPI_ISL_466434,2020-04-14,Europe
hCoV-19,USA,NY-PV08412,2020,EPI_ISL_421375,2020-03-16,NorthAmerica
hCoV-19,Wuhan,HB-WHCM2-269,2020,EPI_ISL_455004,2020-02-24,Asia
hCoV-19,USA,ME-HETL-J0061,2020,EPI_ISL_513472,2020-03-20,NorthAmerica
hCoV-19,Canada,BC_16505592,2020,EPI_ISL_477085,2020-03-00,NorthAmerica
hCoV-19,England,NORW-ED476,2020,EPI_ISL_472368,2020-05-28,Europe
hCoV-19,USA,VA-DCLS-0635,2020,EPI_ISL_495307,2020-04-11,NorthAmerica
hCoV-19,Switzerland,BS-UHB-42196271,2020,EPI_ISL_528198,2020-03-17,Europe
hCoV-19,England,BRIS-12DD50,2020,EPI_ISL_481984,2020-05-30,Europe
hCoV-19,USA,UT-08721,2020,EPI_ISL_524778,2020-05-26,NorthAmerica
hCoV-19,Panama,338681,2020,EPI_ISL_496879,2020-04-09,NorthAmerica
hCoV-19,England,20189176701,2020,EPI_ISL_465574,2020-05-01,Europe
hCoV-19,USA,MA-UW-MAYO45,2020,EPI_ISL_500529,2020-03-23,NorthAmerica
hCoV-19,Wales,PHWC-29E07,2020,EPI_ISL_432267,2020-04-04,Europe
hCoV-19,England,LOND-D4B40,2020,EPI_ISL_444180,2020-04-11,Europe
hCoV-19,Scotland,EDB1842,2020,EPI_ISL_433154,2020-04-17,Europe
hCoV-19,Wales,PHWC-27B5D,2020,EPI_ISL_432327,2020-04-01,Europe
hCoV-19,England,CAMB-823C1,2020,EPI_ISL_443585,2020-04-13,Europe
hCoV-19,England,LOND-D612E,2020,EPI_ISL_482168,2020-04-20,Europe
hCoV-19,England,QEUH-54D4BB,2020,EPI_ISL_533422,2020-05-12,Europe
hCoV-19,Australia,VIC4445,2020,EPI_ISL_519741,2020-07-16,Oceania
hCoV-19,England,BRIS-12567B,2020,EPI_ISL_443759,2020-03-28,Europe
hCoV-19,Wales,PHWC-168348,2020,EPI_ISL_494229,2020-04-18,Europe
hCoV-19,USA,MI-UM-2006S000912,2020,EPI_ISL_484751,2020-03-30,NorthAmerica
hCoV-19,England,LIVE-A5498,2020,EPI_ISL_500119,2020-03-20,Europe
hCoV-19,England,NOTT-11050D,2020,EPI_ISL_441525,2020-04-23,Europe
hCoV-19,Wales,PHWC-2AD45,2020,EPI_ISL_445697,2020-04-06,Europe
hCoV-19,USA,WA-S312,2020,EPI_ISL_434072,2020-04-01,NorthAmerica
hCoV-19,USA,TX-DSHS-0216,2020,EPI_ISL_525777,2020-03-31,NorthAmerica
hCoV-19,Portugal,PT1504,2020,EPI_ISL_511463,2020-03-17,Europe
hCoV-19,Wales,PHWC-25B31,2020,EPI_ISL_422218,2020-03-24,Europe
